日期,sum
2019-01-04,0.60041810980959
2019-01-11,1.7971454200476447
2019-01-18,2.2218802668488915
2019-01-25,0.6988635470650626
2019-02-01,1.254594297879695
2019-02-15,2.247493399182455
2019-02-22,4.112904810262943
2019-03-01,6.051246012447936
2019-03-08,-1.6150947428781544
2019-03-15,2.245118644439861
2019-03-22,2.0902747677182276
2019-03-29,0.19882270868772436
2019-04-04,4.641758601008107
2019-04-12,-1.3275596505064324
2019-04-19,2.6683382292218853
2019-04-26,-4.436555920621027
2019-04-30,0.2607463160786611
2019-05-10,-3.900144446241067
2019-05-17,-1.1124942337265513
2019-05-24,-0.7256284164550177
2019-05-31,1.3972124913175752
2019-06-06,-1.7462934854425998
2019-06-14,2.088537842656713
2019-06-21,3.880529190210561
2019-06-28,0.0641466652059281
2019-07-05,1.4508685527087184
2019-07-12,-1.6887681278744722
2019-07-19,0.13522315635865842
2019-07-26,2.374513834642836
2019-08-02,-1.5814138229580095
2019-08-09,-2.0377730972820145
2019-08-16,1.6470254573706276
2019-08-23,2.203540043298644
2019-08-30,-0.053295328634704826
2019-09-06,3.304074528427187
2019-09-12,0.7392170685838888
2019-09-20,-0.5462373474690035
2019-09-27,-1.6986586278899136
2019-09-30,-0.6937347413499679
2019-10-11,1.9277752382767195
2019-10-18,-1.1146745821770643
2019-10-25,0.602343873002949
2019-11-01,0.3874730415083263
2019-11-08,0.6921845858907736
2019-11-15,-2.016208730899418
2019-11-22,0.4566630814893154
2019-11-29,-0.24674387966225106
2019-12-06,1.3397119321032904
2019-12-13,1.718143636623488
2019-12-20,1.0345011831366875
2019-12-27,0.5216334795334266
