日期,sum
2019-01-04,1.466857076418416
2019-01-11,2.218086413636984
2019-01-18,0.17193218606064362
2019-01-25,-0.4938529902869859
2019-02-01,-2.025626284062634
2019-02-15,4.0828666337049295
2019-02-22,3.932239974899156
2019-03-01,4.2930230641659
2019-03-08,2.8636450122583956
2019-03-15,2.4211337110933204
2019-03-22,3.9060627318422103
2019-03-29,-1.2192850293992106
2019-04-04,4.346727683852134
2019-04-12,-0.9419812481221266
2019-04-19,1.557523346774303
2019-04-26,-4.919093743220136
2019-04-30,-1.7035375629804153
2019-05-10,-2.4104811798841053
2019-05-17,-1.2541940185098654
2019-05-24,-1.2819305626052842
2019-05-31,2.2552679660390322
2019-06-06,-3.6505883813435167
2019-06-14,2.0307755038697746
2019-06-21,3.5275475310173503
2019-06-28,-0.8972511500221245
2019-07-05,1.3003442392897286
2019-07-12,-2.4349009084358775
2019-07-19,-0.20394709476062137
2019-07-26,1.2337606752266006
2019-08-02,-1.0744956315813505
2019-08-09,-3.3708004465255472
2019-08-16,2.6358082786203676
2019-08-23,1.9528825696506351
2019-08-30,0.06110191700434169
2019-09-06,3.6088574241952935
2019-09-12,1.5630136463599116
2019-09-20,-0.5137157992495908
2019-09-27,-3.024997376596906
2019-09-30,-0.5460975571342748
2019-10-11,1.6742916582531862
2019-10-18,-0.8061437869903398
2019-10-25,0.588634303647821
2019-11-01,-1.074959235542223
2019-11-08,0.6788788465552239
2019-11-15,-2.604334747670429
2019-11-22,0.5231910012561322
2019-11-29,-0.285056600484713
2019-12-06,1.2814723405075323
2019-12-13,1.059451797674659
2019-12-20,2.369800948104159
2019-12-27,-0.007415077123781444
