日期,涨跌幅a,涨跌幅b,中国国债收益率5年,sum,sumc
2019-01-04,1.31,0.7845192307692307,0.05548076923076923,-0.8664389666088259,-0.9734835786165078
2019-01-11,6.48,1.4940384615384616,0.055961538461538465,-0.4209409935893391,1.54942129642797
2019-01-18,1.22,1.5934423076923077,0.05655769230769231,2.049948080788248,0.7041936515409111
2019-01-25,1.68,0.16331730769230768,0.05668269230769231,1.1927165373520483,-0.6418386696435555
2019-02-01,6.38,0.5742192307692308,0.05578076923076923,3.280220581942329,-0.4291590559154077
2019-02-15,0.22,2.394626923076923,0.05537307692307693,-1.8353732345224745,3.001403460382727
2019-02-22,2.88,4.483744230769231,0.056255769230769234,0.1806648353637872,-0.0343370368547324
2019-03-01,4.31,6.710982692307692,0.0590173076923077,1.758222948282036,-2.037765242460225
2019-03-08,-4.75,-0.8682384615384616,0.058238461538461544,-4.47873975513655,1.1673209879755886
2019-03-15,1.95,1.6911057692307692,0.058894230769230775,-0.1760150666534592,1.432178226078158
2019-03-22,0.85,2.671653846153846,0.058346153846153846,-1.8157879641239827,0.2712767417084158
2019-03-29,-5.06,-0.48687884615384613,0.056878846153846155,1.418107738086935,2.189955704528637
2019-04-04,4.22,4.979782692307692,0.060217307692307695,0.295030917155973,-1.3945847095728916
2019-04-12,-2.35,-1.8411115384615384,0.06111153846153847,-0.3855784023843058,0.6068685217413133
2019-04-19,1.09,2.5184153846153845,0.061584615384615383,1.1108148824475823,-0.7267194354042967
2019-04-26,-4.54,-5.701807692307692,0.061807692307692313,0.4825378225991095,2.256721783924628
2019-04-30,0.45,-0.3214403846153846,0.06144038461538462,1.9642838790590764,-0.4443631665749583
2019-05-10,-5.63,-4.580628846153846,0.06062884615384615,-1.4896632663569616,1.6282763620975331
2019-05-17,-0.48,-2.000276923076923,0.060276923076923075,0.1416997847833141,2.124626159036978
2019-05-24,-0.48,-1.0798307692307691,0.059830769230769236,0.5563021461502664,-1.104360964857972
2019-05-31,0.96,1.5409019230769232,0.05909807692307693,-0.858055474721457,1.139322193839858
2019-06-06,1.19,-2.5087788461538465,0.05877884615384616,1.904294895900917,-2.198516876833345
2019-06-14,-0.24,1.8609,0.0591,0.0577623387869383,0.9568691266593894
2019-06-21,4.73,4.101519230769231,0.05848076923076923,0.3529816591932109,-0.0573375824870727
2019-06-28,1.35,-0.8287884615384615,0.05878846153846154,0.9613978152280528,1.3694243528976984
2019-07-05,-1.11,1.0219576923076923,0.0580423076923077,0.1505243134189897,0.1071157349342584
2019-07-12,-4.05,-2.7278865384615383,0.05788653846153846,0.7461327805614053,0.3207713660965072
2019-07-19,1.17,-0.27786346153846153,0.057863461538461544,0.3391702511192798,-0.8487204301216107
2019-07-26,-0.23,0.642151923076923,0.05784807692307693,1.1407531594162357,3.377996493920425
2019-08-02,-3.49,-2.656590384615385,0.05659038461538462,-0.5069181913766589,2.1501173303690884
2019-08-09,-3.61,-3.3058865384615386,0.05588653846153846,1.3330273492435327,2.2431944638893264
2019-08-16,-0.25,1.7135211538461539,0.05647884615384616,-0.98878282124974,2.4657433230288675
2019-08-23,1.0,2.553011538461538,0.05698846153846154,0.2506574736480089,1.1971430878279634
2019-08-30,-0.74,-0.446975,0.056975,-0.1143972456390465,1.883627843923361
2019-09-06,4.25,3.8740750000000004,0.055925,-0.3047828957681067,-1.4008347965399262
2019-09-12,1.44,0.9926884615384616,0.05731153846153846,-0.8237965777760228,-0.6862652904451825
2019-09-20,-0.47,-0.8774884615384615,0.05748846153846154,-0.0325215482194127,2.0303604349050026
2019-09-27,-1.9,-2.5280057692307696,0.058005769230769236,1.3263387487069924,0.1690481211967491
2019-09-30,0.73,-0.9779288461538462,0.057928846153846164,-0.1476371842156931,-0.0038454866820375
2019-10-11,1.44,2.3015673076923076,0.05843269230769231,0.2534835800235333,-1.1672932124851847
2019-10-18,-2.13,-1.2473134615384616,0.05731346153846154,-0.3085307951867244,-0.3436104164105079
2019-10-25,0.24,0.5117826923076922,0.05821730769230769,0.013709569355128,-0.6355071706576454
2019-11-01,-2.66,0.051078846153846155,0.058921153846153845,1.4624322770505491,1.3007112379769112
2019-11-08,0.99,0.14104615384615385,0.058953846153846155,0.0133057393355496,1.5980034972815138
2019-11-15,-1.97,-2.5186865384615382,0.058686538461538464,0.5881260167710107,1.9539993737623509
2019-11-22,2.26,-0.2670923076923077,0.05709230769230769,-0.0665279197668167,0.5577787056503406
2019-11-29,1.23,-0.5172211538461539,0.057221153846153845,0.0383127208224619,-1.010509288272115
2019-12-06,-1.69,1.3325576923076923,0.057442307692307695,0.058239591595758,1.4266539923804644
2019-12-13,1.72,1.8524615384615384,0.05753846153846154,0.658691838948829,-0.5362917198586115
2019-12-20,1.45,1.202926923076923,0.05707307692307693,-1.3352997649674714,-1.0456585118462636
2019-12-27,0.0,-0.05548269230769231,0.05548269230769231,0.5290485566572081,1.4108760211678957
