,品种名称,代码,R^2,f_p_value,coeff_constant,p_value_constant,coeff_market,p_value_Market,coeff_SMB,p_value_SMB,coeff_HML,p_value_HML
14,海天味业,603288,0.3333088229536959,0.00024279990952216196,-0.11168765630960989,0.8119954177840684,0.00421844986876458,0.00421844986876458,0.006758587701407738,0.006758587701407738,0.00014981223393690924,0.00014981223393690924
15,恒生电子,600570,0.6271150810905364,3.807885741281922e-10,0.5087738454918291,0.3669915934405388,6.253109371953427e-11,6.253109371953427e-11,0.09541260736910628,0.09541260736910628,0.445006757278269,0.445006757278269
16,闻泰科技,600745,0.2461812537890402,0.0038126201988812006,2.53682185387762,0.08057936833758941,0.0005648435694925117,0.0005648435694925117,0.4697878349405048,0.4697878349405048,0.6141571467769631,0.6141571467769631
17,用友网络,600588,0.36695789301539317,7.505266693208806e-05,1.0233746802461976,0.20620938427026658,0.0005523557693335191,0.0005523557693335191,0.001758708091847123,0.001758708091847123,0.39926680608331766,0.39926680608331766
18,隆基股份,601012,0.27919708192168113,0.0016397603379776325,-0.10670880902865115,0.90432085991539,0.00020385156982319903,0.00020385156982319903,0.1523091105853173,0.1523091105853173,0.02721233013605748,0.02721233013605748
19,中信建投,601066,0.2869762395195291,0.001102217405636482,3.503563496319926,0.03188279753402009,0.002379389877116217,0.002379389877116217,0.1638256703861164,0.1638256703861164,0.1988158993236393,0.1988158993236393
20,海通证券,600837,0.48075785351391553,8.058617017573209e-07,1.4557458350782084,0.03592639423985378,8.507321605787796e-06,8.507321605787796e-06,0.1033152876821486,0.1033152876821486,0.05468021627850798,0.05468021627850798
21,三一重工,600031,0.33166241011788133,0.0002567227487272906,1.1870797840889107,0.08464888161347527,3.4671258950785714e-05,3.4671258950785714e-05,0.452141134186563,0.452141134186563,0.7142721402028211,0.7142721402028211
22,药明康德,603259,0.2996361346171993,0.0007373229713448229,-0.14686458185118337,0.8330149349109729,0.0002829779482470784,0.0002829779482470784,0.22076887542251836,0.22076887542251836,0.001350539616394749,0.001350539616394749
23,复星医药,600196,0.5520075752224388,2.6772079045897852e-08,-1.0547418705770013,0.051155848336679625,2.7598552146248615e-09,2.7598552146248615e-09,0.011328907999647813,0.011328907999647813,0.0005410857795329147,0.0005410857795329147
24,中国国旅,601888,0.4386909071324936,4.8204353154219824e-06,-0.4670921557658977,0.3813685561892176,1.513861193338658e-06,1.513861193338658e-06,0.21706940542790065,0.21706940542790065,6.810933542820325e-05,6.810933542820325e-05
25,青岛海尔,600690,0.5875142549436172,3.958577065681272e-09,-0.06970139582846818,0.8895693036903614,6.216639487293569e-08,6.216639487293569e-08,9.79400330636894e-06,9.79400330636894e-06,0.4106962762635219,0.4106962762635219
26,恒瑞医药,600276,0.5441452671684497,4.002667892536505e-08,0.12758673925867176,0.7574115452600647,1.2180887260251401e-08,1.2180887260251401e-08,0.004077575328554795,0.004077575328554795,4.169041624820781e-05,4.169041624820781e-05
27,海螺水泥,600585,0.5980363335331602,2.1747940449527016e-09,0.5556631292352862,0.22471593076283938,3.543045828733439e-10,3.543045828733439e-10,0.00698780883111105,0.00698780883111105,0.0953349105726154,0.0953349105726154
28,万华化学,600309,0.6334634382029548,2.555538908440522e-10,0.44943615165595857,0.4038499737840092,4.569779666695057e-10,4.569779666695057e-10,1.1165690072627825e-05,1.1165690072627825e-05,0.02504463919660401,0.02504463919660401
29,国泰君安,601211,0.49755505678664247,3.780219613257197e-07,0.3572642861419948,0.48956413118692454,9.441622253385906e-07,9.441622253385906e-07,0.7871487662292791,0.7871487662292791,0.13931559251804893,0.13931559251804893
30,华泰证券,601688,0.5010229986170549,3.222715467741146e-07,0.2816302148858031,0.6847000689599525,1.3530072204868518e-06,1.3530072204868518e-06,0.14928087764926104,0.14928087764926104,0.1676680269052261,0.1676680269052261
31,伊利股份,600887,0.36724996739248994,7.426967193028358e-05,0.04603919164030118,0.9286531137533836,9.7190623966777e-06,9.7190623966777e-06,0.06466932915490847,0.06466932915490847,0.17822914998151126,0.17822914998151126
32,农业银行,601288,0.777131451172205,2.353621242423751e-15,0.33801032496413747,0.03455701051550424,1.0628950480724883e-06,1.0628950480724883e-06,1.271929135794484e-06,1.271929135794484e-06,5.472990404047907e-08,5.472990404047907e-08
33,中国建筑,601668,0.6364348553064447,2.115249351472991e-10,0.11888537568574345,0.707977237173808,7.726312327209491e-08,7.726312327209491e-08,0.25134583485052586,0.25134583485052586,0.0012282429868758862,0.0012282429868758862
34,中国太保,601601,0.6110649113273754,1.0127830380306e-09,0.165851510402084,0.7382414202486223,9.044646811619586e-09,9.044646811619586e-09,0.0011191850722680322,0.0011191850722680322,0.48595802344243044,0.48595802344243044
35,中国石油,601857,0.5734764925375408,8.593925783523668e-09,-0.4630244748232212,0.026516730201499823,1.6041605024504275e-08,1.6041605024504275e-08,0.5957385565111792,0.5957385565111792,0.19759210641617525,0.19759210641617525
36,中国神华,601088,0.5804320226357338,5.872552677224717e-09,0.1130267467067464,0.7795388215311068,1.443283467556778e-07,1.443283467556778e-07,0.22270446215485382,0.22270446215485382,0.026082684462852116,0.026082684462852116
37,中国平安,601318,0.7525766780220244,2.7029536750061133e-14,0.2222004774670961,0.48495844993947046,3.0906772443308405e-14,3.0906772443308405e-14,3.308492069424136e-05,3.308492069424136e-05,0.2706140393482803,0.2706140393482803
38,兴业银行,601166,0.7735175390815332,3.427226979395131e-15,0.4939779088800614,0.17087316275831282,1.3877527939344684e-10,1.3877527939344684e-10,2.9008655019552334e-08,2.9008655019552334e-08,0.005458353832118144,0.005458353832118144
39,中国人寿,601628,0.6780669409998272,1.250546347014924e-11,0.5022417385504305,0.35078755298017006,1.5141938354414598e-09,1.5141938354414598e-09,8.387780033912133e-06,8.387780033912133e-06,0.3454276114420637,0.3454276114420637
40,保利地产,600048,0.4546632919069924,2.486349689841589e-06,1.0586017178392926,0.03656735444965138,0.00031858067069365963,0.00031858067069365963,0.3875723251708181,0.3875723251708181,0.0051783858248437885,0.0051783858248437885
41,工商银行,601398,0.7393443125041366,9.118379259674013e-14,0.4743347837517983,0.027523189304055375,2.2286890973826544e-06,2.2286890973826544e-06,2.182552407162236e-06,2.182552407162236e-06,3.133536046683624e-06,3.133536046683624e-06
42,贵州茅台,600519,0.5696692135539272,1.0557013291638917e-08,0.040317183602437134,0.9264749220236166,2.853669416740579e-08,2.853669416740579e-08,0.0001803019631798595,0.0001803019631798595,2.9760206187430643e-06,2.9760206187430643e-06
43,中信证券,600030,0.6467959251280118,1.799429975169029e-10,0.302416388168498,0.541975627329547,1.0878002072398901e-10,1.0878002072398901e-10,0.16556546531162947,0.16556546531162947,0.7372797866838996,0.7372797866838996
44,上海汽车,600104,0.435290744724696,5.535794364934712e-06,-0.6418398059178174,0.23753030148162965,6.866568958376479e-06,6.866568958376479e-06,0.008301541236708909,0.008301541236708909,0.8648644680328061,0.8648644680328061
45,招商银行,600036,0.6764994834681983,1.40022442909467e-11,0.5645811915409046,0.08940248070690716,2.760747146558967e-10,2.760747146558967e-10,0.0001129677207370798,0.0001129677207370798,0.45311877619075414,0.45311877619075414
46,中国石化,600028,0.6032441303066469,1.6072630721893933e-09,0.1189905509529195,0.6780713511027944,5.387981983031022e-08,5.387981983031022e-08,0.04145582573272114,0.04145582573272114,0.038126864111946844,0.038126864111946844
